keyword,category,industry,source_sheets,search_intent,funnel_stage,primary_or_secondary,target_url,target_page_type,content_type,cluster,seasonality,priority,cannibalization_risk,status,reason
employee culture gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
employee desk kit,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
employee engagement gifting,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
employee experience gifting,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
employee gifts with logo,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
employee milestone gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
employee onboarding experience,All,All,SEO Keywords,employee gifting,bottom,primary,/guides/employee-welcome-kit-guide,guide,buying guide,guides,evergreen,1,none,targeted,Declared primary keyword of /guides/employee-welcome-kit-guide.
employee recognition gift sets,All,All,SEO Keywords,commercial investigation,middle,secondary,/occasions/work-anniversary-milestones,seasonal-landing,landing page copy,occasions,seasonal,2,none,targeted,Declared secondary keyword of /occasions/work-anniversary-milestones.
employee retention gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-appreciation.
employer branding gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
employer branding welcome kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/guides/employee-welcome-kit-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/employee-welcome-kit-guide.
executive notebook pen set,All,All,SEO Keywords,executive gifting,bottom,supporting,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/executive-leadership.
functional corporate gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
hybrid workforce welcome kits,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
leadership offsite gifts,All,All,SEO Keywords,executive gifting,bottom,secondary,/gifting/executive-leadership,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/executive-leadership.
logo branded gift sets,All,All,SEO Keywords,commercial investigation,middle,secondary,/guides/logo-branding-on-corporate-gifts,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/logo-branding-on-corporate-gifts.
logo printed corporate gifts,All,All,SEO Keywords,commercial investigation,bottom,primary,/guides/logo-branding-on-corporate-gifts,guide,buying guide,guides,evergreen,1,none,targeted,Declared primary keyword of /guides/logo-branding-on-corporate-gifts.
long service employee gifts,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/employee-appreciation,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-appreciation.
mindful corporate gifting,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
minimalist corporate gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
modern corporate gift sets,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
modern employee welcome kits,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
new hire experience kit,All,All,SEO Keywords,employee gifting,bottom,secondary,/guides/employee-welcome-kit-guide,guide,buying guide,guides,evergreen,2,none,targeted,Declared secondary keyword of /guides/employee-welcome-kit-guide.
notebook pen corporate gift,All,All,SEO Keywords,commercial investigation,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
office desk gift set,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
office stationery gift set,All,All,SEO Keywords,product-specific,middle,supporting,/shop,listing,product listing,shop,evergreen,4,low,targeted,Generic browse term with no more specific owner; served by the full catalog listing.
people ops welcome kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
personalized employee onboarding,All,All,SEO Keywords,employee gifting,bottom,secondary,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/employee-onboarding.
personalized notebook pen gift set,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
personalized office gifts,All,All,SEO Keywords,product-specific,middle,supporting,/,homepage,homepage copy,brand,evergreen,2,medium,targeted,"Broad brand-level commercial term. Owned by the homepage by design -- category and product pages deliberately do not compete for head terms, they link upward to them."
premium minimalist gifts,All,All,SEO Keywords,commercial investigation,middle,supporting,/categories/premium-gifts,category,category page copy,premium-gifts,evergreen,2,low,targeted,Cluster-level variation supported by the category page /categories/premium-gifts.
professional welcome kit,All,All,SEO Keywords,employee gifting,bottom,supporting,/gifting/employee-onboarding,use-case-landing,landing page copy,gifting,evergreen,2,low,targeted,Occasion/programme intent served by /gifting/employee-onboarding.
promotion gifts for employees,All,All,SEO Keywords,commercial investigation,middle,secondary,/occasions/work-anniversary-milestones,seasonal-landing,landing page copy,occasions,seasonal,2,none,targeted,Declared secondary keyword of /occasions/work-anniversary-milestones.
sales incentive gift sets,All,All,SEO Keywords,commercial investigation,middle,secondary,/gifting/dealer-channel-partner,use-case-landing,landing page copy,gifting,evergreen,2,none,targeted,Declared secondary keyword of /gifting/dealer-channel-partner.
